group,branch,kind,amplitude,continuum,threshold,center20_minus_outermean,sd,minimum,maximum
empirical,boxcar_independent,rotation,5,actual,per_channel,-0.3267225705613852,0.25981031954397893,-0.6773003525096516,0.1774127842145432
empirical,boxcar_independent,rotation,5,actual,fixed_global,-0.15105221535496252,0.2131814642671787,-0.5289976297252984,0.23586937620249593
empirical,boxcar_independent,rotation,5,source_disabled,per_channel,-0.3267225705613852,0.25981031954397893,-0.6773003525096516,0.1774127842145432
empirical,boxcar_independent,rotation,5,source_disabled,fixed_global,-0.15105221535496252,0.2131814642671787,-0.5289976297252984,0.23586937620249593
empirical,boxcar_independent,rotation,10,actual,per_channel,-0.04109593776940538,0.0567236777757571,-0.1393805178335641,0.03233246221945685
empirical,boxcar_independent,rotation,10,actual,fixed_global,-0.019321617377098737,0.044656092126677115,-0.10480950848466708,0.04106467565507399
empirical,boxcar_independent,rotation,10,source_disabled,per_channel,-0.04109593776940538,0.0567236777757571,-0.1393805178335641,0.03233246221945685
empirical,boxcar_independent,rotation,10,source_disabled,fixed_global,-0.019321617377098737,0.044656092126677115,-0.10480950848466708,0.04106467565507399
empirical,boxcar_independent,warp,5,actual,per_channel,-0.32953746488759966,0.26565268307408324,-0.6877831750638749,0.18386161893686714
empirical,boxcar_independent,warp,5,actual,fixed_global,-0.15503533791475999,0.2230913810329845,-0.5359143814694962,0.24514076250417027
empirical,boxcar_independent,warp,5,source_disabled,per_channel,-0.32953746488759966,0.26565268307408324,-0.6877831750638749,0.18386161893686714
empirical,boxcar_independent,warp,5,source_disabled,fixed_global,-0.15503533791475999,0.2230913810329845,-0.5359143814694962,0.24514076250417027
empirical,boxcar_independent,warp,10,actual,per_channel,-0.04464963422478064,0.058983536209068245,-0.14682531099211982,0.03797315915376409
empirical,boxcar_independent,warp,10,actual,fixed_global,-0.020597225022019255,0.04482740244830922,-0.09823053421655581,0.04117703208144896
empirical,boxcar_independent,warp,10,source_disabled,per_channel,-0.04464963422478064,0.058983536209068245,-0.14682531099211982,0.03797315915376409
empirical,boxcar_independent,warp,10,source_disabled,fixed_global,-0.020597225022019255,0.04482740244830922,-0.09823053421655581,0.04117703208144896
empirical,boxcar_independent,streaming,5,actual,per_channel,-0.32601592292977505,0.26368374323764343,-0.6911117194717352,0.1921443371935745
empirical,boxcar_independent,streaming,5,actual,fixed_global,-0.15550497456397125,0.2327730921879164,-0.5267009860308642,0.2856440470654802
empirical,boxcar_independent,streaming,5,source_disabled,per_channel,-0.32601592292977505,0.26368374323764343,-0.6911117194717352,0.1921443371935745
empirical,boxcar_independent,streaming,5,source_disabled,fixed_global,-0.15550497456397125,0.2327730921879164,-0.5267009860308642,0.2856440470654802
empirical,boxcar_independent,streaming,10,actual,per_channel,-0.04786358338954807,0.05961957752254713,-0.1776541637605049,0.025020326361277268
empirical,boxcar_independent,streaming,10,actual,fixed_global,-0.01357800364870973,0.03348026395811671,-0.08507066728137413,0.0417696883120251
empirical,boxcar_independent,streaming,10,source_disabled,per_channel,-0.04786358338954807,0.05961957752254713,-0.1776541637605049,0.025020326361277268
empirical,boxcar_independent,streaming,10,source_disabled,fixed_global,-0.01357800364870973,0.03348026395811671,-0.08507066728137413,0.0417696883120251
empirical,boxcar_hanning_full,rotation,5,actual,per_channel,-0.3234999016395608,0.2532276613210631,-0.7032088672709026,0.15942802332352368
