group,branch,kind,amplitude,continuum,threshold,center20_minus_outermean,sd,minimum,maximum
empirical,boxcar_hanning_full,rotation,5,actual,fixed_global,-0.1498393315968952,0.2076536783020341,-0.49781662328308085,0.22330170505746516
empirical,boxcar_hanning_full,rotation,5,source_disabled,per_channel,-0.3234999016395608,0.2532276613210631,-0.7032088672709026,0.15942802332352368
empirical,boxcar_hanning_full,rotation,5,source_disabled,fixed_global,-0.1498393315968952,0.2076536783020341,-0.49781662328308085,0.22330170505746516
empirical,boxcar_hanning_full,rotation,10,actual,per_channel,-0.0390521751753716,0.05081675156396184,-0.12850651710777583,0.02906081349496792
empirical,boxcar_hanning_full,rotation,10,actual,fixed_global,-0.016424913339626406,0.037233311877841395,-0.07176803636102003,0.03687818972401724
empirical,boxcar_hanning_full,rotation,10,source_disabled,per_channel,-0.0390521751753716,0.05081675156396184,-0.12850651710777583,0.02906081349496792
empirical,boxcar_hanning_full,rotation,10,source_disabled,fixed_global,-0.016424913339626406,0.037233311877841395,-0.07176803636102003,0.03687818972401724
empirical,boxcar_hanning_full,warp,5,actual,per_channel,-0.32390369814674475,0.2576368345376235,-0.725826382042937,0.16491411723412552
empirical,boxcar_hanning_full,warp,5,actual,fixed_global,-0.1535537663418958,0.21619479263242533,-0.515642193499832,0.23079668127440722
empirical,boxcar_hanning_full,warp,5,source_disabled,per_channel,-0.32390369814674475,0.2576368345376235,-0.725826382042937,0.16491411723412552
empirical,boxcar_hanning_full,warp,5,source_disabled,fixed_global,-0.1535537663418958,0.21619479263242533,-0.515642193499832,0.23079668127440722
empirical,boxcar_hanning_full,warp,10,actual,per_channel,-0.0425216322619115,0.05533408235248816,-0.14228412964457704,0.034562479192695506
empirical,boxcar_hanning_full,warp,10,actual,fixed_global,-0.01643985089122162,0.039340379594416365,-0.0734664319542726,0.04047386885986559
empirical,boxcar_hanning_full,warp,10,source_disabled,per_channel,-0.0425216322619115,0.05533408235248816,-0.14228412964457704,0.034562479192695506
empirical,boxcar_hanning_full,warp,10,source_disabled,fixed_global,-0.01643985089122162,0.039340379594416365,-0.0734664319542726,0.04047386885986559
empirical,boxcar_hanning_full,streaming,5,actual,per_channel,-0.3155656286306212,0.2515548300300035,-0.6659933300347571,0.17381977336489107
empirical,boxcar_hanning_full,streaming,5,actual,fixed_global,-0.14963004724039794,0.22028770467391104,-0.5043715736989469,0.26836393220001065
empirical,boxcar_hanning_full,streaming,5,source_disabled,per_channel,-0.3155656286306212,0.2515548300300035,-0.6659933300347571,0.17381977336489107
empirical,boxcar_hanning_full,streaming,5,source_disabled,fixed_global,-0.14963004724039794,0.22028770467391104,-0.5043715736989469,0.26836393220001065
empirical,boxcar_hanning_full,streaming,10,actual,per_channel,-0.048612715895583504,0.06075319631600111,-0.17975652574162015,0.03225134216792025
empirical,boxcar_hanning_full,streaming,10,actual,fixed_global,-0.014667382034839832,0.036918962166382456,-0.09763769551045498,0.0328088499062843
empirical,boxcar_hanning_full,streaming,10,source_disabled,per_channel,-0.048612715895583504,0.06075319631600111,-0.17975652574162015,0.03225134216792025
empirical,boxcar_hanning_full,streaming,10,source_disabled,fixed_global,-0.014667382034839832,0.036918962166382456,-0.09763769551045498,0.0328088499062843
empirical,boxcar_hanning_decimated,rotation,5,actual,per_channel,-0.32686295766459067,0.25930365995155424,-0.6804117427420884,0.1775557563258673
empirical,boxcar_hanning_decimated,rotation,5,actual,fixed_global,-0.151702088703751,0.21287438987971108,-0.5257469170797138,0.23602033184070603
empirical,boxcar_hanning_decimated,rotation,5,source_disabled,per_channel,-0.32686295766459067,0.25930365995155424,-0.6804117427420884,0.1775557563258673
empirical,boxcar_hanning_decimated,rotation,5,source_disabled,fixed_global,-0.151702088703751,0.21287438987971108,-0.5257469170797138,0.23602033184070603
empirical,boxcar_hanning_decimated,rotation,10,actual,per_channel,-0.040790799491081366,0.05572744405481379,-0.137035031813048,0.03156605791628453
empirical,boxcar_hanning_decimated,rotation,10,actual,fixed_global,-0.019297463977764755,0.04383847884620169,-0.10178736545544986,0.04065192830941622
empirical,boxcar_hanning_decimated,rotation,10,source_disabled,per_channel,-0.040790799491081366,0.05572744405481379,-0.137035031813048,0.03156605791628453
empirical,boxcar_hanning_decimated,rotation,10,source_disabled,fixed_global,-0.019297463977764755,0.04383847884620169,-0.10178736545544986,0.04065192830941622
empirical,boxcar_hanning_decimated,warp,5,actual,per_channel,-0.32952498291901783,0.2647183018776185,-0.6926394660953568,0.18080517857664202
empirical,boxcar_hanning_decimated,warp,5,actual,fixed_global,-0.15484923031442224,0.2217001571089016,-0.5336657895515576,0.24017716221327945
empirical,boxcar_hanning_decimated,warp,5,source_disabled,per_channel,-0.32952498291901783,0.2647183018776185,-0.6926394660953568,0.18080517857664202
empirical,boxcar_hanning_decimated,warp,5,source_disabled,fixed_global,-0.15484923031442224,0.2217001571089016,-0.5336657895515576,0.24017716221327945
empirical,boxcar_hanning_decimated,warp,10,actual,per_channel,-0.04434772376990586,0.05797884453026003,-0.14342939823311296,0.03747629097570815
empirical,boxcar_hanning_decimated,warp,10,actual,fixed_global,-0.020550414976537052,0.04448081235528937,-0.09682728491826875,0.04126420975970213
empirical,boxcar_hanning_decimated,warp,10,source_disabled,per_channel,-0.04434772376990586,0.05797884453026003,-0.14342939823311296,0.03747629097570815
empirical,boxcar_hanning_decimated,warp,10,source_disabled,fixed_global,-0.020550414976537052,0.04448081235528937,-0.09682728491826875,0.04126420975970213
empirical,boxcar_hanning_decimated,streaming,5,actual,per_channel,-0.3253028791283816,0.2629409075037702,-0.6894267256138896,0.1907653591285704
empirical,boxcar_hanning_decimated,streaming,5,actual,fixed_global,-0.1552005797419478,0.23077840942841524,-0.52394390694091,0.28079132736691037
empirical,boxcar_hanning_decimated,streaming,5,source_disabled,per_channel,-0.3253028791283816,0.2629409075037702,-0.6894267256138896,0.1907653591285704
empirical,boxcar_hanning_decimated,streaming,5,source_disabled,fixed_global,-0.1552005797419478,0.23077840942841524,-0.52394390694091,0.28079132736691037
empirical,boxcar_hanning_decimated,streaming,10,actual,per_channel,-0.047730711463088056,0.059452701861579395,-0.17631251169203022,0.02435735198710609
empirical,boxcar_hanning_decimated,streaming,10,actual,fixed_global,-0.013683530458603746,0.03426320991661019,-0.0869756551667129,0.04125438871287046
empirical,boxcar_hanning_decimated,streaming,10,source_disabled,per_channel,-0.047730711463088056,0.059452701861579395,-0.17631251169203022,0.02435735198710609
empirical,boxcar_hanning_decimated,streaming,10,source_disabled,fixed_global,-0.013683530458603746,0.03426320991661019,-0.0869756551667129,0.04125438871287046
noiseless,boxcar_independent,rotation,5,actual,per_channel,-0.15206639340352401,0.0,-0.15206639340352401,-0.15206639340352401
noiseless,boxcar_independent,rotation,5,actual,fixed_global,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16
noiseless,boxcar_independent,rotation,5,source_disabled,per_channel,-0.15206639340352401,0.0,-0.15206639340352401,-0.15206639340352401
noiseless,boxcar_independent,rotation,5,source_disabled,fixed_global,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16
noiseless,boxcar_independent,rotation,10,actual,per_channel,-0.009226736932152924,0.0,-0.009226736932152924,-0.009226736932152924
noiseless,boxcar_independent,rotation,10,actual,fixed_global,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16
noiseless,boxcar_independent,rotation,10,source_disabled,per_channel,-0.009226736932152924,0.0,-0.009226736932152924,-0.009226736932152924
noiseless,boxcar_independent,rotation,10,source_disabled,fixed_global,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16
noiseless,boxcar_independent,warp,5,actual,per_channel,-0.16110616705071434,0.0,-0.16110616705071434,-0.16110616705071434
noiseless,boxcar_independent,warp,5,actual,fixed_global,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
noiseless,boxcar_independent,warp,5,source_disabled,per_channel,-0.16110616705071434,0.0,-0.16110616705071434,-0.16110616705071434
noiseless,boxcar_independent,warp,5,source_disabled,fixed_global,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
noiseless,boxcar_independent,warp,10,actual,per_channel,-0.011708452977426287,0.0,-0.011708452977426287,-0.011708452977426287
noiseless,boxcar_independent,warp,10,actual,fixed_global,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16
noiseless,boxcar_independent,warp,10,source_disabled,per_channel,-0.011708452977426287,0.0,-0.011708452977426287,-0.011708452977426287
noiseless,boxcar_independent,warp,10,source_disabled,fixed_global,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16
noiseless,boxcar_independent,streaming,5,actual,per_channel,-0.19245276466312988,0.0,-0.19245276466312988,-0.19245276466312988
noiseless,boxcar_independent,streaming,5,actual,fixed_global,-7.771561172376096e-16,0.0,-7.771561172376096e-16,-7.771561172376096e-16
noiseless,boxcar_independent,streaming,5,source_disabled,per_channel,-0.19245276466312988,0.0,-0.19245276466312988,-0.19245276466312988
noiseless,boxcar_independent,streaming,5,source_disabled,fixed_global,-7.771561172376096e-16,0.0,-7.771561172376096e-16,-7.771561172376096e-16
noiseless,boxcar_independent,streaming,10,actual,per_channel,-0.016539036333779067,0.0,-0.016539036333779067,-0.016539036333779067
noiseless,boxcar_independent,streaming,10,actual,fixed_global,-6.661338147750939e-16,0.0,-6.661338147750939e-16,-6.661338147750939e-16
noiseless,boxcar_independent,streaming,10,source_disabled,per_channel,-0.016539036333779067,0.0,-0.016539036333779067,-0.016539036333779067
noiseless,boxcar_independent,streaming,10,source_disabled,fixed_global,-6.661338147750939e-16,0.0,-6.661338147750939e-16,-6.661338147750939e-16
noiseless,boxcar_hanning_full,rotation,5,actual,per_channel,-0.1608842294592051,0.0,-0.1608842294592051,-0.1608842294592051
noiseless,boxcar_hanning_full,rotation,5,actual,fixed_global,-1.865174681370263e-14,0.0,-1.865174681370263e-14,-1.865174681370263e-14
noiseless,boxcar_hanning_full,rotation,5,source_disabled,per_channel,-0.1608842294592051,0.0,-0.1608842294592051,-0.1608842294592051
noiseless,boxcar_hanning_full,rotation,5,source_disabled,fixed_global,-1.865174681370263e-14,0.0,-1.865174681370263e-14,-1.865174681370263e-14
noiseless,boxcar_hanning_full,rotation,10,actual,per_channel,-0.011031108492016162,0.0,-0.011031108492016162,-0.011031108492016162
noiseless,boxcar_hanning_full,rotation,10,actual,fixed_global,-2.2537527399890678e-14,0.0,-2.2537527399890678e-14,-2.2537527399890678e-14
noiseless,boxcar_hanning_full,rotation,10,source_disabled,per_channel,-0.011031108492016162,0.0,-0.011031108492016162,-0.011031108492016162
noiseless,boxcar_hanning_full,rotation,10,source_disabled,fixed_global,-2.2537527399890678e-14,0.0,-2.2537527399890678e-14,-2.2537527399890678e-14
noiseless,boxcar_hanning_full,warp,5,actual,per_channel,-0.16779618722135914,0.0,-0.16779618722135914,-0.16779618722135914
noiseless,boxcar_hanning_full,warp,5,actual,fixed_global,-1.8762769116165146e-14,0.0,-1.8762769116165146e-14,-1.8762769116165146e-14
noiseless,boxcar_hanning_full,warp,5,source_disabled,per_channel,-0.16779618722135914,0.0,-0.16779618722135914,-0.16779618722135914
noiseless,boxcar_hanning_full,warp,5,source_disabled,fixed_global,-1.8762769116165146e-14,0.0,-1.8762769116165146e-14,-1.8762769116165146e-14
noiseless,boxcar_hanning_full,warp,10,actual,per_channel,-0.012549436385018264,0.0,-0.012549436385018264,-0.012549436385018264
noiseless,boxcar_hanning_full,warp,10,actual,fixed_global,-2.2648549702353193e-14,0.0,-2.2648549702353193e-14,-2.2648549702353193e-14
noiseless,boxcar_hanning_full,warp,10,source_disabled,per_channel,-0.012549436385018264,0.0,-0.012549436385018264,-0.012549436385018264
noiseless,boxcar_hanning_full,warp,10,source_disabled,fixed_global,-2.2648549702353193e-14,0.0,-2.2648549702353193e-14,-2.2648549702353193e-14
noiseless,boxcar_hanning_full,streaming,5,actual,per_channel,-0.18376338548666682,0.0,-0.18376338548666682,-0.18376338548666682
noiseless,boxcar_hanning_full,streaming,5,actual,fixed_global,-5.947464742916964e-13,0.0,-5.947464742916964e-13,-5.947464742916964e-13
noiseless,boxcar_hanning_full,streaming,5,source_disabled,per_channel,-0.18376338548666682,0.0,-0.18376338548666682,-0.18376338548666682
noiseless,boxcar_hanning_full,streaming,5,source_disabled,fixed_global,-5.947464742916964e-13,0.0,-5.947464742916964e-13,-5.947464742916964e-13
noiseless,boxcar_hanning_full,streaming,10,actual,per_channel,-0.012046939035926685,0.0,-0.012046939035926685,-0.012046939035926685
noiseless,boxcar_hanning_full,streaming,10,actual,fixed_global,-7.135403379265881e-13,0.0,-7.135403379265881e-13,-7.135403379265881e-13
noiseless,boxcar_hanning_full,streaming,10,source_disabled,per_channel,-0.012046939035926685,0.0,-0.012046939035926685,-0.012046939035926685
noiseless,boxcar_hanning_full,streaming,10,source_disabled,fixed_global,-7.135403379265881e-13,0.0,-7.135403379265881e-13,-7.135403379265881e-13
noiseless,boxcar_hanning_decimated,rotation,5,actual,per_channel,-0.15306352563215397,0.0,-0.15306352563215397,-0.15306352563215397
noiseless,boxcar_hanning_decimated,rotation,5,actual,fixed_global,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16
noiseless,boxcar_hanning_decimated,rotation,5,source_disabled,per_channel,-0.15306352563215397,0.0,-0.15306352563215397,-0.15306352563215397
noiseless,boxcar_hanning_decimated,rotation,5,source_disabled,fixed_global,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16
noiseless,boxcar_hanning_decimated,rotation,10,actual,per_channel,-0.009460735573996626,0.0,-0.009460735573996626,-0.009460735573996626
noiseless,boxcar_hanning_decimated,rotation,10,actual,fixed_global,0.0,0.0,0.0,0.0
noiseless,boxcar_hanning_decimated,rotation,10,source_disabled,per_channel,-0.009460735573996626,0.0,-0.009460735573996626,-0.009460735573996626
noiseless,boxcar_hanning_decimated,rotation,10,source_disabled,fixed_global,0.0,0.0,0.0,0.0
noiseless,boxcar_hanning_decimated,warp,5,actual,per_channel,-0.16137962567040642,0.0,-0.16137962567040642,-0.16137962567040642
noiseless,boxcar_hanning_decimated,warp,5,actual,fixed_global,0.0,0.0,0.0,0.0
noiseless,boxcar_hanning_decimated,warp,5,source_disabled,per_channel,-0.16137962567040642,0.0,-0.16137962567040642,-0.16137962567040642
noiseless,boxcar_hanning_decimated,warp,5,source_disabled,fixed_global,0.0,0.0,0.0,0.0
noiseless,boxcar_hanning_decimated,warp,10,actual,per_channel,-0.011740466370650626,0.0,-0.011740466370650626,-0.011740466370650626
noiseless,boxcar_hanning_decimated,warp,10,actual,fixed_global,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16
noiseless,boxcar_hanning_decimated,warp,10,source_disabled,per_channel,-0.011740466370650626,0.0,-0.011740466370650626,-0.011740466370650626
noiseless,boxcar_hanning_decimated,warp,10,source_disabled,fixed_global,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16
noiseless,boxcar_hanning_decimated,streaming,5,actual,per_channel,-0.19253260034696473,0.0,-0.19253260034696473,-0.19253260034696473
noiseless,boxcar_hanning_decimated,streaming,5,actual,fixed_global,-3.4416913763379853e-15,0.0,-3.4416913763379853e-15,-3.4416913763379853e-15
noiseless,boxcar_hanning_decimated,streaming,5,source_disabled,per_channel,-0.19253260034696473,0.0,-0.19253260034696473,-0.19253260034696473
noiseless,boxcar_hanning_decimated,streaming,5,source_disabled,fixed_global,-3.4416913763379853e-15,0.0,-3.4416913763379853e-15,-3.4416913763379853e-15
noiseless,boxcar_hanning_decimated,streaming,10,actual,per_channel,-0.016465729847177535,0.0,-0.016465729847177535,-0.016465729847177535
noiseless,boxcar_hanning_decimated,streaming,10,actual,fixed_global,-4.107825191113079e-15,0.0,-4.107825191113079e-15,-4.107825191113079e-15
noiseless,boxcar_hanning_decimated,streaming,10,source_disabled,per_channel,-0.016465729847177535,0.0,-0.016465729847177535,-0.016465729847177535
noiseless,boxcar_hanning_decimated,streaming,10,source_disabled,fixed_global,-4.107825191113079e-15,0.0,-4.107825191113079e-15,-4.107825191113079e-15
