group,branch,kind,amplitude,center,effect,mean,sd,minimum,maximum,material
empirical,boxcar_independent,rotation,5,10,remove_source_continuum,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,5,10,fixed_threshold,-0.001920145055859357,0.011026684508594132,-0.024338836612564085,0.013429529074880153,False
empirical,boxcar_independent,rotation,5,10,interaction,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,5,20,remove_source_continuum,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,5,20,fixed_threshold,0.17849030668956498,0.1089899146680468,0.025297655138054265,0.36674802621062597,True
empirical,boxcar_independent,rotation,5,20,interaction,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,5,30,remove_source_continuum,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,5,30,fixed_threshold,0.007560048022143874,0.02063656535473918,-0.01116475288762675,0.06517341379914054,False
empirical,boxcar_independent,rotation,5,30,interaction,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,10,10,remove_source_continuum,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,10,10,fixed_threshold,-0.0008572436285029239,0.003162056544094902,-0.006042893551774009,0.004200115427326789,False
empirical,boxcar_independent,rotation,10,10,interaction,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,10,20,remove_source_continuum,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,10,20,fixed_threshold,0.02130126904041918,0.018567020837363935,0.003378333658472066,0.05813631105253425,False
empirical,boxcar_independent,rotation,10,20,interaction,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,10,30,remove_source_continuum,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,rotation,10,30,fixed_threshold,-8.885907527204455e-05,0.002031648975678791,-0.004780415634151769,0.0036961328321504228,False
empirical,boxcar_independent,rotation,10,30,interaction,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,warp,5,10,remove_source_continuum,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,warp,5,10,fixed_threshold,-0.004207548012382804,0.011138394504682212,-0.028117977964645435,0.010399444180507977,False
empirical,boxcar_independent,warp,5,10,interaction,0.0,0.0,0.0,0.0,False
empirical,boxcar_independent,warp,5,20,remove_source_continuum,0.0,0.0,0.0,0.0,False
