group,branch,center,kind,continuum,threshold,draw,amplitude,peak_selected,true_flux_fraction_retained,reference_flux_jy_kms,post_continuum_flux_over_reference,selected_noisy_flux_over_reference,paired_selected_flux_difference_over_reference,selected_voxel_fraction
noiseless,boxcar_independent,10,rotation,actual,per_channel,0,5,True,0.8148591983636015,0.25948325725103355,0.999999999999415,0.8148591983635942,0.8148591983635942,0.009812673735856177
noiseless,boxcar_independent,10,rotation,actual,per_channel,0,10,True,0.9589419700084619,0.5189665145020671,0.999999999999415,0.9589419700084157,0.9589419700084157,0.02161763958746126
empirical,boxcar_independent,10,rotation,actual,per_channel,0,5,True,0.86673618123326,0.25948325725103355,0.999999999999415,1.236411002908971,1.236411002908971,0.01645727640240672
empirical,boxcar_independent,10,rotation,actual,per_channel,0,10,True,0.9557231727420213,0.5189665145020671,0.999999999999415,1.2347420398431914,1.2347420398431914,0.027474760670919793
empirical,boxcar_independent,10,rotation,actual,per_channel,1,5,True,0.6013501021063128,0.25948325725103355,0.999999999999415,0.6039894254078306,0.6039894254078306,0.0059188131890463855
empirical,boxcar_independent,10,rotation,actual,per_channel,1,10,True,0.8850568914836003,0.5189665145020671,0.999999999999415,0.8563179741281903,0.8563179741281903,0.016428244823306553
empirical,boxcar_independent,10,rotation,actual,per_channel,2,5,True,0.7356016417725701,0.25948325725103355,0.999999999999415,0.8489741867549835,0.8086540963913152,0.007646192145506274
empirical,boxcar_independent,10,rotation,actual,per_channel,2,10,True,0.9272668855102756,0.5189665145020671,0.999999999999415,0.9529350738765147,0.9327750286946805,0.01880520536213266
empirical,boxcar_independent,10,rotation,actual,per_channel,3,5,True,0.6430979641672454,0.25948325725103355,0.999999999999415,0.6510215408071083,0.5967262156987383,0.006539363192312438
empirical,boxcar_independent,10,rotation,actual,per_channel,3,10,True,0.8956761319453657,0.5189665145020671,0.999999999999415,0.8825576254758282,0.8554099629216431,0.017712892198488907
empirical,boxcar_independent,10,rotation,actual,per_channel,4,5,True,0.6567922243692371,0.25948325725103355,0.999999999999415,0.8133675144652994,0.8078836908691739,0.007588128987305942
empirical,boxcar_independent,10,rotation,actual,per_channel,4,10,True,0.9353720348870699,0.5189665145020671,0.999999999999415,1.0560986550109563,1.0533567432128934,0.01841690799166794
