branch,center,kind,continuum,intrinsic_pre_H_weighted,parent_post_H,stored_pre_continuum,stored_post_continuum,native_post_continuum,detector_post_continuum,continuum_signed_fraction,native_crop_ratio,detector_crop_ratio,native_ordering_max_abs,normalization_symmetric_detector_peak
boxcar_independent,10,rotation,actual,482.45390585684623,482.45390585684623,482.4539058568462,482.453905856564,482.45284095990235,482.085619807614,0.9999999999994151,0.9999977927494239,0.9992388454971937,2.220446049250313e-16,0.1243152732924255
boxcar_independent,10,rotation,source_disabled,482.45390585684623,482.45390585684623,482.4539058568462,482.4539058568462,482.4528409601846,482.0856198078905,1.0,0.999997792749424,0.9992388454971822,0.0,0.1243152732924255
boxcar_independent,10,warp,actual,482.45390585684623,482.45390585684623,482.45390585684623,482.453905856564,482.45284095990246,482.0856198076123,0.999999999999415,0.9999977927494241,0.9992388454971899,3.3306690738754696e-16,0.1243152732924255
boxcar_independent,10,warp,source_disabled,482.45390585684623,482.45390585684623,482.45390585684623,482.45390585684623,482.4528409601845,482.0856198078905,1.0,0.9999977927494238,0.9992388454971823,0.0,0.1243152732924255
boxcar_independent,10,streaming,actual,482.45390585684635,482.45390585684635,482.45390585684544,482.4539058477219,482.45284095106064,482.0856197988703,0.9999999999810893,0.9999977927494247,0.9992388454973828,2.220446049250313e-16,0.1243152732924255
boxcar_independent,10,streaming,source_disabled,482.45390585684635,482.45390585684635,482.45390585684544,482.45390585684544,482.45284096018366,482.08561980788977,1.0,0.9999977927494237,0.9992388454971826,0.0,0.1243152732924255
boxcar_independent,20,rotation,actual,482.45390585684623,482.45390585684623,482.45390585684635,482.45390585684635,482.4528409601846,482.0856198078907,1.0,0.9999977927494237,0.9992388454971826,0.0,0.12431527329242549
boxcar_independent,20,rotation,source_disabled,482.45390585684623,482.45390585684623,482.45390585684635,482.45390585684635,482.4528409601846,482.0856198078907,1.0,0.9999977927494237,0.9992388454971826,0.0,0.12431527329242549
boxcar_independent,20,warp,actual,482.4539058568462,482.4539058568462,482.4539058568463,482.4539058568463,482.45284096018463,482.08561980789057,1.0,0.9999977927494239,0.9992388454971822,0.0,0.12431527329242549
boxcar_independent,20,warp,source_disabled,482.4539058568462,482.4539058568462,482.4539058568463,482.4539058568463,482.45284096018463,482.08561980789057,1.0,0.9999977927494239,0.9992388454971822,0.0,0.12431527329242549
