id,source_mass_msun,newton_pde_residual,mond_pde_residual
refitted_mixed,50037997114.930405,7.858358265951252e-15,1.2082227327111768e-14
refitted_thin,50353143708.65476,8.021391722055658e-15,1.0807391883496671e-14
thin_larger_box,50353143708.65477,7.100904147393533e-15,1.530426242242581e-14
thin_lateral_refined,50353143708.654755,1.658521362203721e-14,2.5448468688944663e-14
thin_vertical_refined,50353143708.65476,2.4302261282539957e-14,3.5528133741830965e-14
mixed_larger_box,50037997114.930405,8.202793757717956e-15,1.6737995600019104e-14
mixed_lateral_refined,50037997114.930405,1.719392419378644e-14,2.931179697121349e-14
mixed_vertical_refined,50037997114.930405,2.740025301991193e-14,4.049501553418906e-14
