galaxy,reason
D512-2,existing_radial_selection
ESO563-G021,existing_radial_selection
F561-1,existing_radial_selection
F563-1,existing_radial_selection
F563-V1,existing_radial_selection
F563-V2,existing_radial_selection
F567-2,existing_radial_selection
F568-1,existing_radial_selection
F571-8,existing_radial_selection
F574-2,existing_radial_selection
F579-V1,existing_radial_selection
IC4202,existing_radial_selection
NGC0100,existing_radial_selection
NGC0891,existing_radial_selection
NGC1705,existing_radial_selection
NGC2366,existing_radial_selection
NGC4010,existing_radial_selection
NGC4013,existing_radial_selection
NGC4085,existing_radial_selection
NGC4157,existing_radial_selection
NGC4183,existing_radial_selection
NGC4214,existing_radial_selection
NGC4217,existing_radial_selection
NGC4389,existing_radial_selection
NGC5907,existing_radial_selection
NGC6789,existing_radial_selection
NGC7814,existing_radial_selection
PGC51017,existing_radial_selection
UGC00634,existing_radial_selection
UGC01230,existing_radial_selection
UGC01281,existing_radial_selection
UGC02023,existing_radial_selection
UGC02455,existing_radial_selection
UGC04278,existing_radial_selection
UGC04305,existing_radial_selection
UGC05986,existing_radial_selection
UGC05999,existing_radial_selection
UGC06628,existing_radial_selection
UGC06667,existing_radial_selection
UGC06973,existing_radial_selection
UGC07125,existing_radial_selection
UGC07151,existing_radial_selection
UGC07232,existing_radial_selection
UGC07608,existing_radial_selection
UGC08286,existing_radial_selection
UGC08550,existing_radial_selection
UGC11455,existing_radial_selection
UGC12506,existing_radial_selection
UGCA281,existing_radial_selection
