seed,estimator,bundle,fold,train_count,test_count,alpha,gamma_multiplier,inner_mse
9060601,linear_ridge,baseline,0,100,26,10.0,1.0,0.006168883887107873
9060601,linear_ridge,baseline,1,101,25,10.0,1.0,0.0059856135640988135
9060601,linear_ridge,baseline,2,101,25,10.0,1.0,0.005709865246647961
9060601,linear_ridge,baseline,3,101,25,10.0,1.0,0.005122896572681155
9060601,linear_ridge,baseline,4,101,25,10.0,1.0,0.0055886940284154965
9060601,linear_ridge,stellar,0,100,26,10.0,1.0,0.005916545901156549
9060601,linear_ridge,stellar,1,101,25,10.0,1.0,0.005859211074413192
9060601,linear_ridge,stellar,2,101,25,10.0,1.0,0.005593724931920132
9060601,linear_ridge,stellar,3,101,25,10.0,1.0,0.00509880251704831
9060601,linear_ridge,stellar,4,101,25,10.0,1.0,0.005512845285545509
9060601,linear_ridge,gas,0,100,26,10.0,1.0,0.006097718483966147
9060601,linear_ridge,gas,1,101,25,10.0,1.0,0.006000028931251029
9060601,linear_ridge,gas,2,101,25,10.0,1.0,0.005799553412983245
9060601,linear_ridge,gas,3,101,25,10.0,1.0,0.005176605048162827
9060601,linear_ridge,gas,4,101,25,10.0,1.0,0.005655257246414183
9060601,linear_ridge,combined,0,100,26,1.0,1.0,0.0055554193464855605
9060601,linear_ridge,combined,1,101,25,10.0,1.0,0.0056649132609375525
9060601,linear_ridge,combined,2,101,25,10.0,1.0,0.005570455239897862
9060601,linear_ridge,combined,3,101,25,10.0,1.0,0.005116117551479409
9060601,linear_ridge,combined,4,101,25,10.0,1.0,0.005454376908618755
9060601,rbf_kernel_ridge,baseline,0,100,26,1.0,0.25,0.006147065285065915
9060601,rbf_kernel_ridge,baseline,1,101,25,10.0,0.25,0.006068479602905022
9060601,rbf_kernel_ridge,baseline,2,101,25,10.0,0.25,0.005802994426957458
9060601,rbf_kernel_ridge,baseline,3,101,25,10.0,0.25,0.005207053814778382
9060601,rbf_kernel_ridge,baseline,4,101,25,1.0,0.25,0.005249623031871232
9060601,rbf_kernel_ridge,stellar,0,100,26,1.0,0.25,0.0058826077245813
9060601,rbf_kernel_ridge,stellar,1,101,25,1.0,0.25,0.005835021712783289
9060601,rbf_kernel_ridge,stellar,2,101,25,1.0,0.25,0.00550556372636804
9060601,rbf_kernel_ridge,stellar,3,101,25,1.0,0.25,0.005088745566234358
9060601,rbf_kernel_ridge,stellar,4,101,25,1.0,1.0,0.004660145476634844
9060601,rbf_kernel_ridge,gas,0,100,26,1.0,0.25,0.006041812434172305
9060601,rbf_kernel_ridge,gas,1,101,25,10.0,0.25,0.006111010381658539
9060601,rbf_kernel_ridge,gas,2,101,25,10.0,0.25,0.005879802858546023
9060601,rbf_kernel_ridge,gas,3,101,25,10.0,0.25,0.005255340500877854
9060601,rbf_kernel_ridge,gas,4,101,25,1.0,0.25,0.005395065698122204
9060601,rbf_kernel_ridge,combined,0,100,26,0.1,0.25,0.005460292116715377
9060601,rbf_kernel_ridge,combined,1,101,25,0.1,0.25,0.005303479282205464
9060601,rbf_kernel_ridge,combined,2,101,25,0.1,0.25,0.005432355864212358
9060601,rbf_kernel_ridge,combined,3,101,25,1.0,0.25,0.005094534996426039
9060601,rbf_kernel_ridge,combined,4,101,25,0.1,0.25,0.004740751688199064
9060602,linear_ridge,baseline,0,100,26,10.0,1.0,0.00588579164337478
9060602,linear_ridge,baseline,1,101,25,10.0,1.0,0.005206303291950662
9060602,linear_ridge,baseline,2,101,25,10.0,1.0,0.00602173626532174
9060602,linear_ridge,baseline,3,101,25,10.0,1.0,0.006522022888876463
9060602,linear_ridge,baseline,4,101,25,10.0,1.0,0.006514143539485375
9060602,linear_ridge,stellar,0,100,26,10.0,1.0,0.005860599372999855
9060602,linear_ridge,stellar,1,101,25,10.0,1.0,0.005055930128817565
9060602,linear_ridge,stellar,2,101,25,10.0,1.0,0.00612427815884271
9060602,linear_ridge,stellar,3,101,25,10.0,1.0,0.006649825417640135
9060602,linear_ridge,stellar,4,101,25,10.0,1.0,0.006351471386388835
9060602,linear_ridge,gas,0,100,26,10.0,1.0,0.0059533565797283815
9060602,linear_ridge,gas,1,101,25,10.0,1.0,0.005256890443697419
9060602,linear_ridge,gas,2,101,25,10.0,1.0,0.006022660923082717
9060602,linear_ridge,gas,3,101,25,10.0,1.0,0.006588305735034055
9060602,linear_ridge,gas,4,101,25,10.0,1.0,0.006462327531520091
9060602,linear_ridge,combined,0,100,26,10.0,1.0,0.005708433002853523
9060602,linear_ridge,combined,1,101,25,10.0,1.0,0.005018300190681055
9060602,linear_ridge,combined,2,101,25,10.0,1.0,0.00590412971093736
9060602,linear_ridge,combined,3,101,25,10.0,1.0,0.006555518546548671
9060602,linear_ridge,combined,4,101,25,0.1,1.0,0.005687388470731203
9060602,rbf_kernel_ridge,baseline,0,100,26,10.0,0.25,0.005934013512620433
9060602,rbf_kernel_ridge,baseline,1,101,25,10.0,1.0,0.005291767224814789
9060602,rbf_kernel_ridge,baseline,2,101,25,1.0,0.25,0.005978451736562273
9060602,rbf_kernel_ridge,baseline,3,101,25,10.0,1.0,0.00620860502457155
9060602,rbf_kernel_ridge,baseline,4,101,25,1.0,0.25,0.006350580860246568
9060602,rbf_kernel_ridge,stellar,0,100,26,10.0,0.25,0.005910544402485209
9060602,rbf_kernel_ridge,stellar,1,101,25,1.0,0.25,0.00529648552671717
9060602,rbf_kernel_ridge,stellar,2,101,25,1.0,0.25,0.00609599060859715
9060602,rbf_kernel_ridge,stellar,3,101,25,1.0,1.0,0.005657944400311562
9060602,rbf_kernel_ridge,stellar,4,101,25,1.0,0.25,0.006364625839624283
9060602,rbf_kernel_ridge,gas,0,100,26,10.0,0.25,0.005954550879819438
9060602,rbf_kernel_ridge,gas,1,101,25,10.0,1.0,0.005304011596765514
9060602,rbf_kernel_ridge,gas,2,101,25,1.0,0.25,0.005918975286980774
9060602,rbf_kernel_ridge,gas,3,101,25,10.0,1.0,0.006332511074323916
9060602,rbf_kernel_ridge,gas,4,101,25,1.0,0.25,0.006300112583766421
9060602,rbf_kernel_ridge,combined,0,100,26,1.0,0.25,0.005852061956485931
9060602,rbf_kernel_ridge,combined,1,101,25,1.0,0.25,0.005267410972950175
9060602,rbf_kernel_ridge,combined,2,101,25,0.1,0.25,0.005751697852151083
9060602,rbf_kernel_ridge,combined,3,101,25,0.1,0.25,0.005871344793671039
9060602,rbf_kernel_ridge,combined,4,101,25,0.1,0.25,0.005461970840197779
9060603,linear_ridge,baseline,0,100,26,10.0,1.0,0.00667013232591392
9060603,linear_ridge,baseline,1,101,25,10.0,1.0,0.006859186733725658
9060603,linear_ridge,baseline,2,101,25,10.0,1.0,0.006012949620179504
9060603,linear_ridge,baseline,3,101,25,10.0,1.0,0.006649992762019826
9060603,linear_ridge,baseline,4,101,25,10.0,1.0,0.004122228452719185
9060603,linear_ridge,stellar,0,100,26,1.0,1.0,0.006572992896284507
9060603,linear_ridge,stellar,1,101,25,10.0,1.0,0.007181009281120396
9060603,linear_ridge,stellar,2,101,25,10.0,1.0,0.00612182744757661
9060603,linear_ridge,stellar,3,101,25,10.0,1.0,0.0065710198685849115
9060603,linear_ridge,stellar,4,101,25,10.0,1.0,0.004218485859894941
9060603,linear_ridge,gas,0,100,26,10.0,1.0,0.0067144865303853584
9060603,linear_ridge,gas,1,101,25,10.0,1.0,0.006830542423507837
9060603,linear_ridge,gas,2,101,25,10.0,1.0,0.0061036526595924685
9060603,linear_ridge,gas,3,101,25,10.0,1.0,0.006623732188217335
9060603,linear_ridge,gas,4,101,25,10.0,1.0,0.004169936764180409
9060603,linear_ridge,combined,0,100,26,10.0,1.0,0.006545067731410385
9060603,linear_ridge,combined,1,101,25,10.0,1.0,0.0073389745485119146
9060603,linear_ridge,combined,2,101,25,10.0,1.0,0.006298469995039003
9060603,linear_ridge,combined,3,101,25,10.0,1.0,0.006279566256792976
9060603,linear_ridge,combined,4,101,25,10.0,1.0,0.004288489572085241
9060603,rbf_kernel_ridge,baseline,0,100,26,1.0,0.25,0.006410763775318469
9060603,rbf_kernel_ridge,baseline,1,101,25,1.0,0.25,0.0067800502265471215
9060603,rbf_kernel_ridge,baseline,2,101,25,1.0,0.25,0.005793115286459944
9060603,rbf_kernel_ridge,baseline,3,101,25,1.0,0.25,0.006510348947481226
9060603,rbf_kernel_ridge,baseline,4,101,25,1.0,0.25,0.004042055092292308
9060603,rbf_kernel_ridge,stellar,0,100,26,0.1,0.25,0.005774597101212373
9060603,rbf_kernel_ridge,stellar,1,101,25,1.0,0.25,0.006918684167654793
9060603,rbf_kernel_ridge,stellar,2,101,25,1.0,0.25,0.005902014837187738
9060603,rbf_kernel_ridge,stellar,3,101,25,1.0,0.25,0.006582614799602163
9060603,rbf_kernel_ridge,stellar,4,101,25,1.0,0.25,0.004069048196725913
9060603,rbf_kernel_ridge,gas,0,100,26,1.0,0.25,0.006549495500147092
9060603,rbf_kernel_ridge,gas,1,101,25,1.0,0.25,0.006861310019942011
9060603,rbf_kernel_ridge,gas,2,101,25,1.0,0.25,0.0058288879011709005
9060603,rbf_kernel_ridge,gas,3,101,25,1.0,0.25,0.0066159651819003955
9060603,rbf_kernel_ridge,gas,4,101,25,1.0,0.25,0.004127570804116049
9060603,rbf_kernel_ridge,combined,0,100,26,0.1,0.25,0.005693784021659907
9060603,rbf_kernel_ridge,combined,1,101,25,1.0,0.25,0.006989846278096337
9060603,rbf_kernel_ridge,combined,2,101,25,1.0,1.0,0.005812412077446205
9060603,rbf_kernel_ridge,combined,3,101,25,1.0,0.25,0.006460655970254767
9060603,rbf_kernel_ridge,combined,4,101,25,1.0,0.25,0.004116688978745801
