id,newton_pde_relative_residual,mond_pde_relative_residual,source_mass_relative_error,gates_pass
common_thin_base,1.4670866372967612e-14,2.0395189507200585e-14,2.220446049250313e-16,True
common_thin_lateral,4.9952510869909213e-14,8.467117100383692e-14,0.0,True
common_thin_vertical,2.4282132461709922e-14,3.8706638170388616e-14,2.220446049250313e-16,True
common_thin_box,1.0769071932108233e-14,2.5332797417025552e-14,1.1102230246251565e-16,True
common_mixed_base,1.609372256403471e-14,2.543523153197124e-14,0.0,True
common_mixed_lateral,6.759167331586059e-14,1.1238603881926622e-13,0.0,True
common_mixed_vertical,3.3453085937214894e-14,5.136592195661767e-14,1.1102230246251565e-16,True
common_mixed_box,1.8139518131894335e-14,3.4037907045977727e-14,0.0,True
