radius_kpc,newton_inward_mean,mond_inward_mean,newton_force_speed_kms,mond_force_speed_kms,newton_radial_azimuth_cv,mond_radial_azimuth_cv,newton_tangential_fraction,mond_tangential_fraction,full_minus_algebraic_fraction
2.0,8370.232327317355,10176.95187701864,129.38494755818667,142.66710817156587,0.2250625191003619,0.21410036293960683,0.378058634161616,0.37049635813895626,-0.08020974387945323
2.5,8306.23659952324,10317.813056089048,144.10271162892147,160.60676399274914,0.23459844180858122,0.21995073770709936,0.3780499880449657,0.3633257438305331,-0.06133350397108747
3.0,7814.674653575523,9894.70435319691,153.11441460792176,172.2907805414751,0.33094900891096557,0.3055995345301554,0.3695681406105532,0.34599856178749805,-0.054408269531042545
3.5,7694.329404317543,9928.41663898352,164.10409170740198,186.41206569437057,0.2639707344242501,0.2426650192772699,0.21345908213658646,0.2027462341337717,-0.04431553791690982
4.0,6821.003280088472,9066.125937423194,165.17873083528002,190.43241255020843,0.2159113528899964,0.1975858673560875,0.1427800777385236,0.1384831039949461,-0.042178656821194795
4.5,6246.5070674328,8512.018640029499,167.65822915517032,195.71429145602207,0.12968469847493044,0.11789304149496269,0.12339417243045044,0.12077091801599388,-0.03815080525485937
5.0,5533.504946168217,7779.552298900642,166.33557866806814,197.22515431481656,0.11094172191134662,0.1013037602442362,0.11943431385179651,0.11589935408903433,-0.035307955097771064
5.5,5060.269251264308,7308.556188846847,166.827698185744,200.4920423325017,0.10854610791372267,0.09886572937025793,0.10972037269497288,0.10686672779921237,-0.03008161001002919
6.0,4524.043984271885,6737.626567796036,164.75516351735783,201.0615811306979,0.12618061042430237,0.11105633163746365,0.10600517315945698,0.1013455298521814,-0.02740927867150552
6.5,4281.738041317418,6517.534642660809,166.82714787636698,205.82510822855227,0.07853967639394684,0.06747809740908857,0.09008930483278961,0.08551945802309806,-0.02065018997387471
7.0,3824.091163458422,6008.33928933935,163.61124088585404,205.0813863454591,0.09391287863686762,0.07895020998954905,0.08300969575699163,0.07823688118232262,-0.01929695899229419
7.5,3467.8643373887417,5612.913398944634,161.27300620505454,205.1751702621074,0.0758884203594988,0.06345441222662844,0.08568217310530277,0.08060318514920528,-0.016749371191473145
8.0,3086.92737451467,5164.223710825514,157.1477616643564,203.25793880339364,0.08924030203048944,0.07400423207915795,0.08018367835224978,0.07462501950438527,-0.01708166807524005
8.5,2802.3651855793305,4834.829474671574,154.33763014062484,202.7216084553109,0.08284602387537193,0.06784779414357466,0.06671000162209333,0.06137242656208011,-0.015238887396938046
9.0,2522.506016081997,4497.321119413811,150.67366772179528,201.18620746642725,0.09535988582160489,0.07849895314695501,0.07241942914134666,0.06633001105135525,-0.014101776027448432
9.5,2353.6817681954562,4302.423487007709,149.53252755790908,202.17077713302987,0.10990297029314344,0.08852069679970857,0.06776611590468734,0.061539402956937654,-0.010648377233359648
10.0,2188.6950479729317,4108.924728399356,147.94238905644764,202.70482797406075,0.10517612632137166,0.08453827124693235,0.056806551445716474,0.051801531049346365,-0.0072770393789914995
10.5,2000.9161991998476,3869.44599843995,144.94695613084946,201.56682014562682,0.11903992292376614,0.09497649925553431,0.053381187719737926,0.04825108608703672,-0.006477732946305242
11.0,1865.9539033168128,3706.8959510296863,143.2672081688093,201.93032328337057,0.11030155970393575,0.0879804290807275,0.05663712116932262,0.05141202575163966,-0.002633491979217396
11.5,1722.1141731959192,3520.039582154033,140.7277975090674,201.1975526560186,0.09858847342075204,0.07850571527154429,0.049130771673192575,0.044911088657975766,-0.0013637609647989054
12.0,1597.3451964720339,3355.5930352834866,138.44906051564382,200.66667990327102,0.1071647247787409,0.08463862818040278,0.0476374707319311,0.043242372718675245,0.0004531308445387318
12.5,1492.1926070315376,3218.7600119697313,136.573817358578,200.58539365971203,0.09298444413902911,0.07336563447554598,0.03905380580953555,0.035618927285114586,0.0029850462982782665
13.0,1371.5022761984046,3047.5731202387033,133.5272616006906,199.04384080675078,0.0862093907259041,0.06986891547955228,0.036162967849437976,0.03270871440944905,0.002924718412589626
13.5,1302.6759607437448,2962.3162527988675,132.61268970215693,199.97817234084502,0.09597763052751505,0.07497257563490264,0.03742062086138977,0.03368601536403959,0.007769180881727166
14.0,1223.2308197392974,2853.466019276302,130.86340770570726,199.87126924565277,0.07525592697347461,0.05987814936220163,0.03431963283083844,0.03108135265529552,0.010327402766019653
14.5,1177.7076325818916,2802.0998674116045,130.67808030590834,201.5699582712371,0.07667286203509806,0.05906545746187825,0.034832559935380404,0.033173818799170404,0.016251739744782587
15.0,1120.4631294661815,2725.706108060422,129.64160960892426,202.2018585990404,0.060817021554652954,0.047352222230370264,0.03775236932880885,0.035223027326466504,0.01998482230374456
