name,mode,train_loss,test_loss,ratio_to_rotation,converged
DDO154,rotation,1.608913540840149,2.935340642929077,1.0,True
DDO154,warp,1.564903736114502,3.1798126697540283,1.083285743143256,True
DDO154,stream,1.5965654850006104,3.1040842533111572,1.0574868919518985,True
DDO154,asymmetric,1.3003036975860596,2.689354419708252,0.916198406541544,True
DDO154,full,1.265352725982666,2.7968876361846924,0.9528323886095117,True
IC2574,rotation,2.3925838470458984,11.533616065979004,1.0,True
IC2574,warp,2.3164451122283936,9.864590644836426,0.8552903606644455,True
IC2574,stream,2.2900750637054443,11.414558410644531,0.9896773349612651,True
IC2574,asymmetric,2.1991424560546875,11.349759101867676,0.9840590355132719,True
IC2574,full,2.0553619861602783,12.12694263458252,1.0514432390682455,True
NGC2841,rotation,1.1702094078063965,2.291592597961426,1.0,True
NGC2841,warp,1.0092402696609497,2.4016265869140625,1.048016383475196,True
NGC2841,stream,1.0579822063446045,4.633029937744141,2.0217511358108027,True
NGC2841,asymmetric,1.1212871074676514,2.462028741836548,1.074374539360417,True
NGC2841,full,0.9625889658927917,2.774121046066284,1.2105646739015086,True
NGC2903,rotation,1.8564761877059937,3.7525274753570557,1.0,True
NGC2903,warp,1.7534573078155518,3.8536720275878906,1.0269537139687994,True
NGC2903,stream,1.8179548978805542,5.344850540161133,1.4243334859666994,True
NGC2903,asymmetric,1.7270586490631104,3.796924114227295,1.011831129595131,True
NGC2903,full,1.5528953075408936,7.634135723114014,2.03439835504139,True
NGC2976,rotation,1.437277913093567,5.8314433097839355,1.0,True
NGC2976,warp,1.4134941101074219,6.2776031494140625,1.0765093332694438,True
NGC2976,stream,1.3842487335205078,5.675338268280029,0.9732304623039043,True
NGC2976,asymmetric,1.2739241123199463,4.170766353607178,0.7152202520102543,True
NGC2976,full,1.2635529041290283,6.013047695159912,1.0311422705715552,True
NGC3198,rotation,2.9194700717926025,2.7456717491149902,1.0,True
NGC3198,warp,1.962706446647644,2.5151801109313965,0.9160527334493325,True
NGC3198,stream,2.1227915287017822,30.252166748046875,11.01812944602647,True
NGC3198,asymmetric,2.2945287227630615,2.5738742351531982,0.937429696751927,True
NGC3198,full,1.573675274848938,15.469520568847656,5.634147845179939,True
NGC3521,rotation,5.49384880065918,36.87796401977539,1.0,True
NGC3521,warp,5.49384880065918,36.87796401977539,1.0,True
NGC3521,stream,3.903244733810425,42.61331558227539,1.1555224567013647,False
NGC3521,asymmetric,3.656543731689453,9.320758819580078,0.25274602509460464,True
NGC3521,full,2.38131046295166,41.06367874145508,1.113501784410743,True
NGC4214,rotation,3.619428873062134,18.93625831604004,1.0,True
NGC4214,warp,3.5264737606048584,17.896528244018555,0.9450931617709938,True
NGC4214,stream,2.332690715789795,8.087041854858398,0.4270665154587712,True
NGC4214,asymmetric,3.5416791439056396,19.20695686340332,1.0142952500354299,True
NGC4214,full,2.1571264266967773,7.040647506713867,0.37180774518427734,True
NGC5055,rotation,0.9018622040748596,1.43149995803833,1.0,True
NGC5055,warp,0.8334429860115051,3.2161312103271484,2.2466862064979765,True
NGC5055,stream,0.8255355358123779,6.4200263023376465,4.48482465283156,True
NGC5055,asymmetric,0.8338302373886108,1.3841742277145386,0.9669397612916142,True
NGC5055,full,0.8054452538490295,5.039846420288086,3.5206752134275217,True
NGC6946,rotation,0.9487318992614746,1.3103692531585693,1.0,True
NGC6946,warp,0.9445721507072449,1.1767948865890503,0.8980635677710342,True
NGC6946,stream,0.9377899169921875,1.1020045280456543,0.8409877791235837,True
NGC6946,asymmetric,0.9487307667732239,1.3095170259475708,0.999349628199117,True
NGC6946,full,0.9333361387252808,1.0905449390411377,0.8322424663219486,True
NGC7331,rotation,1.2328741550445557,2.0684919357299805,1.0,True
NGC7331,warp,1.2118319272994995,2.2100675106048584,1.0684438611673461,True
NGC7331,stream,1.2298904657363892,2.393376588821411,1.1570635338139605,True
NGC7331,asymmetric,1.1816788911819458,2.5323426723480225,1.2242458520653343,True
NGC7331,full,1.1009763479232788,2.726439952850342,1.31808101629759,True
UGC04305,rotation,1.7067018747329712,3.350449800491333,1.0,True
UGC04305,warp,1.6821656227111816,3.1097300052642822,0.9281529915201983,True
UGC04305,stream,1.6310590505599976,3.2558043003082275,0.9717514047907162,True
UGC04305,asymmetric,1.687875747680664,3.283583402633667,0.9800425608979845,True
UGC04305,full,1.5890642404556274,2.9108176231384277,0.8687841324205381,True
