branch,family,galaxy,mean_mse_mond,mean_mse_candidate,difference,leave_this_galaxy_out_gain_percent
return,finite_mix,CamB,0.17377089447652927,0.14687573014001704,0.026895164336512234,-2.390988351045564
return,finite_mix,D564-8,0.015455992088693277,0.01417485827183178,0.0012811338168614971,0.38410242089236624
return,finite_mix,D631-7,0.02020121225235733,0.018578802555207077,0.0016224096971502525,0.3534716141812546
return,finite_mix,DDO064,0.005470658706332556,0.004600609673893399,0.0008700490324391567,0.4189570932915445
return,finite_mix,DDO161,0.014947647404736772,0.016882614813806908,-0.0019349674090701364,0.6873501131811159
return,finite_mix,DDO168,0.0066640774750213886,0.002285605863013169,0.004378471612008219,0.09098030690545134
return,finite_mix,DDO170,0.002973553831608716,0.0009179860732044551,0.0020555677584042607,0.30737954625572506
return,finite_mix,ESO079-G014,0.003693815916097584,0.0061803057535878905,-0.0024864898374903064,0.7316168974154741
return,finite_mix,ESO116-G012,0.0052599913026141415,0.00577622664005537,-0.000516235337441228,0.5484827560170003
return,finite_mix,F565-V2,0.008764845953689043,0.013781622020293899,-0.005016776066604856,0.9724392609105518
return,finite_mix,F568-3,0.007797433065271526,0.008783621596102588,-0.0009861885308310612,0.5938289519118859
return,finite_mix,F568-V1,0.029200336980782976,0.03443204490681644,-0.005231707926033467,1.0119985992304692
return,finite_mix,F571-V1,0.0012646907986729684,0.0015580848471595642,-0.0002933940484865958,0.5256849983572245
return,finite_mix,F583-1,0.016260458993871643,0.01059909549017566,0.005661363503695983,-0.02938300574419663
return,finite_mix,F583-4,0.0002912729923615967,0.0044638478547511275,-0.0041725748623895305,0.8862088799121502
return,finite_mix,KK98-251,0.02673954330949324,0.012815263848125556,0.013924279461367685,-0.8180350934724054
return,finite_mix,NGC0024,0.01985119410630907,0.026324947783094563,-0.0064737536767854945,1.120759448059692
return,finite_mix,NGC0055,0.004754207844882503,0.0015884705375073284,0.003165737307375175,0.20414676633737325
return,finite_mix,NGC0247,0.0015191950619163784,0.005819446103125151,-0.004300251041208772,0.8991179768740785
return,finite_mix,NGC0289,0.001053786639949545,0.0024128657532215838,-0.0013590791132720387,0.624825791636636
return,finite_mix,NGC0300,0.0035504696559931887,0.003210880741928644,0.0003395889140645446,0.4677214436821552
return,finite_mix,NGC0801,0.0026230694895661246,0.0040753255199422805,-0.0014522560303761559,0.6344302502535424
return,finite_mix,NGC1003,0.0015195106978170272,0.004936811485097334,-0.0034173007872803068,0.8168560634753758
return,finite_mix,NGC1090,0.005813305631956992,0.007197994261773289,-0.0013846886298162966,0.630003152771452
return,finite_mix,NGC2403,0.00234366323719453,0.0009209436713117286,0.0014227195658828014,0.3662051479665479
return,finite_mix,NGC2683,0.0005211085911523317,0.006780991506113404,-0.006259882914961072,1.0806868052281526
return,finite_mix,NGC2841,0.009736932204996475,0.00336821081291715,0.006368721392079325,-0.09561417875261825
return,finite_mix,NGC2915,0.03650914274342922,0.01741196626345559,0.01909717647997363,-1.3239174963857592
return,finite_mix,NGC2955,0.0011037353923369273,0.0019094812113684167,-0.0008057458190314894,0.5733221959939897
return,finite_mix,NGC2976,0.008763594256643706,0.003364087181559261,0.005399507075084445,-0.0046141258356492115
return,finite_mix,NGC2998,0.014938291474939894,0.018366589868223492,-0.003428298393283598,0.8282352196450051
return,finite_mix,NGC3109,0.006587760634394625,0.007400350973770515,-0.0008125903393758896,0.57690609379836
return,finite_mix,NGC3198,0.004899890528002706,0.005347857778436659,-0.0004479672504339527,0.5419177058734964
return,finite_mix,NGC3521,0.0004200449916843462,0.0012880626062847379,-0.0008680176146003916,0.5787531412090404
return,finite_mix,NGC3741,0.004386065850545083,0.013978156049554885,-0.009592090199009803,1.3958730777656247
return,finite_mix,NGC3769,0.0016065349777205278,0.0022763402810184294,-0.0006698053032979016,0.5609245367504856
return,finite_mix,NGC3877,0.01231005904232048,0.013477919118140428,-0.0011678600758199473,0.6134486924873748
return,finite_mix,NGC3893,0.0010663220391256753,0.0008112317351417027,0.0002550903039839727,0.47450859177608773
return,finite_mix,NGC3917,0.004172143019842366,0.0030474989982022618,0.0011246440216401044,0.394670266921364
return,finite_mix,NGC3949,0.0009102980470135734,0.0011865611406301798,-0.00027626309361660645,0.5239163858204298
return,finite_mix,NGC3972,0.0029527028355974556,0.0033983314712506263,-0.0004456286356531707,0.5407151006054642
return,finite_mix,NGC3992,0.0027165171855982723,0.0014653568380486462,0.001251160347549626,0.3823340729836207
return,finite_mix,NGC4051,0.0029221325796301447,0.0026818727485970373,0.0002402598310331074,0.47671362014152424
return,finite_mix,NGC4068,0.046390623670625304,0.04374046676110479,0.002650156909520515,0.2625424700270356
return,finite_mix,NGC4088,0.00830352865032022,0.015051166298872947,-0.006747637648552726,1.1343042456645465
return,finite_mix,NGC4100,0.0013650532053541495,0.0014146305447142167,-4.957733936006726e-05,0.5030216455029464
return,finite_mix,NGC5005,0.0012916673287193543,0.0035249005824035777,-0.002233233253684223,0.7063896228274608
return,finite_mix,NGC5033,0.0020483526701267265,0.0026868684871582046,-0.0006385158170314782,0.5582389469091917
return,finite_mix,NGC5371,0.003924318095819621,0.005977949886149614,-0.0020536317903299935,0.6913555508518202
return,finite_mix,NGC5585,0.004600107735712328,0.0019052406259325112,0.0026948671097798164,0.24811339707688151
return,finite_mix,NGC5985,0.02143502355766337,0.021882606846409792,-0.00044758328874642053,0.550387522288752
return,finite_mix,NGC6015,0.0033978880914612964,0.0027463778470736993,0.0006515102443875971,0.43854299206779884
return,finite_mix,NGC6195,0.002964876804833761,0.003737819485342032,-0.0007729426805082712,0.5712573599176345
return,finite_mix,NGC6503,0.001157648308227304,0.0007488603661308697,0.00040878794209643426,0.4602341693719512
return,finite_mix,NGC6674,0.004072960132900692,0.0023636510417499885,0.0017093090911507033,0.34003209043413635
return,finite_mix,NGC6946,0.0013398408252740975,0.004461153242110783,-0.003121312416836685,0.7891474987805194
return,finite_mix,NGC7331,0.002346761213853571,0.004550035872558428,-0.0022032746587048574,0.7042912246748932
